cloverItemId,name,priceCAD,recordType,suggestedCloverCategory,suggestedSiteCategory,cloverChange,confidence,brand,cleanNameFr,reason,action
7W847VZHF8XTP,ASF Adulte vivant,3.50,product,Insecte Vivant,food_live,"Asignar ""Insecte Vivant"" en Clover",high,,Adulte vivant,"Patrón nombre → Clover ""Insecte Vivant"" / sitio ""food_live""",Bulk create Product
EAZCRB78RN5Z6,Acanthosaura Capra,100.00,animal,Lezard,,"Asignar ""Lezard"" en Clover",medium,,Acanthosaura Capra,"Nombre sugiere animal vivo → categoría Clover existente ""Lezard""",Créer Animal (no Product)
VKE8BSE2S8VJJ,Acanthosaura Lepidogaster,300.00,animal,Lezard,,"Asignar ""Lezard"" en Clover",medium,,Acanthosaura Lepidogaster,"Nombre sugiere animal vivo → categoría Clover existente ""Lezard""",Créer Animal (no Product)
CBWSB7Q5JGMQC,Acanthoscurria Geniculato,100.00,animal,Isopod et Araignee et Fourmis,,"Asignar ""Isopod et Araignee et Fourmis"" en Clover",medium,,Acanthoscurria Geniculato,"Nombre sugiere animal vivo → categoría Clover existente ""Isopod et Araignee et Fourmis""",Créer Animal (no Product)
W0A3TM297N9EY,Arachnid Biobedding / Substrat Araignée,18.50,product,Substrat,substrate,"Asignar ""Substrat"" en Clover",high,,Arachnid Biobedding / Substrat Araignée,"Patrón nombre → Clover ""Substrat"" / sitio ""substrate""",Bulk create Product
D74AJRJ2ZDZR0,Betta Catappa Leaf,3.99,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,,Betta Catappa Leaf,"Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
VH472Z5X04F34,Blate Discoid,2.00,review,,,Revisar manual,low,,Blate Discoid,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
HE4VXWH8JNYZM,Boa Male Napalm,175.00,animal,Serpent,,"Asignar ""Serpent"" en Clover",medium,,Boa Male Napalm,"Nombre sugiere animal vivo → categoría Clover existente ""Serpent""",Créer Animal (no Product)
VMXQFXDSSRJ08,Boa Poss Super Ghost Het VPI Femelle,450.00,animal,Serpent,,"Asignar ""Serpent"" en Clover",medium,,Boa Poss Super Ghost Het VPI Femelle,"Nombre sugiere animal vivo → categoría Clover existente ""Serpent""",Créer Animal (no Product)
R18X0M3GJG02P,Calypso Misting Intelligent Automatic System,80.00,product,Piece Remplacement/ Electronique,equipment,"Asignar ""Piece Remplacement/ Electronique"" en Clover",medium,,Calypso Misting Intelligent Automatic System,"Patrón nombre → Clover ""Piece Remplacement/ Electronique"" / sitio ""equipment""",Bulk create Product
FHY2YQPR7VGMR,Carnivorous Plant Soil,37.00,product,Substrat,substrate,"Asignar ""Substrat"" en Clover",high,,Carnivorous Plant Soil,"Patrón nombre → Clover ""Substrat"" / sitio ""substrate""",Bulk create Product
BADJW56GNJHFG,Ceramc Cave Hide Large Cachette,40.99,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,,Ceramc Cave Hide Large Cachette,"Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
5BJ7MN930ESR2,Ceramic Cave Hide Medium Cachette,25.99,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,,Ceramic Cave Hide Medium Cachette,"Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
8MBN9NEX4NWF0,Certificat Cadeau/ Gift Certificate,86.98,ignore,,,Revisar manual,high,,Certificat Cadeau/ Gift Certificate,Certificat / frais / service — no publicar en boutique,Ignorer / no publicar
DMRC79PCC27MY,Cricket 150,12.00,product,Insecte Vivant,food_live,"Asignar ""Insecte Vivant"" en Clover",high,,Cricket 150,"Patrón nombre → Clover ""Insecte Vivant"" / sitio ""food_live""",Bulk create Product
XXCQQ29C1DJY2,Cricket 6,1.25,product,Insecte Vivant,food_live,"Asignar ""Insecte Vivant"" en Clover",high,,Cricket 6,"Patrón nombre → Clover ""Insecte Vivant"" / sitio ""food_live""",Bulk create Product
01TFHG0Z3P1RM,Crocodile Skink Red Eyes (couple),800.00,animal,Lezard,,"Asignar ""Lezard"" en Clover",medium,,Crocodile Skink Red Eyes (couple),"Nombre sugiere animal vivo → categoría Clover existente ""Lezard""",Créer Animal (no Product)
8T10TRKYCJW2W,DR001,21.99,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Repashy,DR001,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
2JNPK2PQQ2ZK2,DR002,32.99,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Repashy,DR002,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
RBVN0JH8SDDN6,DR011 Mulberry Madness Crested Gecko Diet 3 oz,26.99,animal,Lezard,,"Asignar ""Lezard"" en Clover",medium,Repashy,Mulberry Madness Crested Gecko Diet 3 oz,"Nombre sugiere animal vivo → categoría Clover existente ""Lezard""",Créer Animal (no Product)
PG2PRHXZNDPVJ,DR012,35.99,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Repashy,DR012,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
XKPB0WSX2BDDC,DR046 Repashy Cherry Bomb 3oz,26.99,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Repashy,Repashy Cherry Bomb 3oz,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
WEK9K65G9DWQJ,DR047 Repashy Cherry Bomb 6oz,40.99,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Repashy,Repashy Cherry Bomb 6oz,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
EQYYWMVQFY024,DR067  Beardie Buffet 6oz,31.99,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Repashy,Beardie Buffet 6oz,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
BV9QZ9XXCSASP,DR071,26.99,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Repashy,DR071,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
8BZZV2XBTHEW2,DR072 Repashy Pineapple Express Gecko Diet 6 oz,35.99,animal,Lezard,,"Asignar ""Lezard"" en Clover",medium,Repashy,Repashy Pineapple Express Gecko Diet 6 oz,"Nombre sugiere animal vivo → categoría Clover existente ""Lezard""",Créer Animal (no Product)
FW9A6QT9DYR9J,DR111 Repashy Calcium plus Lo D 3oz,22.99,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Repashy,Repashy Calcium plus Lo D 3oz,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
MNPHS9YAVFA1G,DR191 Repashy Vitamine A Plus 3oz,23.99,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Repashy,Repashy Vitamine A Plus 3oz,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
4WZDJZNW0W0N6,DR217 Repashy Mango Tango Crested Gecko Diet 6oz,40.99,animal,Lezard,,"Asignar ""Lezard"" en Clover",medium,Repashy,Repashy Mango Tango Crested Gecko Diet 6oz,"Nombre sugiere animal vivo → categoría Clover existente ""Lezard""",Créer Animal (no Product)
9HNGDSQ46FVEJ,DR221   Repashy Meat Pie 3oz,21.99,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Repashy,Repashy Meat Pie 3oz,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
G8506RZ21Y6VG,DR301 Repashy Bug Burger 3oz,19.50,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Repashy,Repashy Bug Burger 3oz,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
2SXW9KR7MAD62,DR307 Repashy Superhorn 6oz,27.99,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Repashy,Repashy Superhorn 6oz,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
16JPW62V823EG,DR325 Repashy Superfly,70.00,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Repashy,Repashy Superfly,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
HFKJ3QXQ46NVJ,DR402 Repashy Super Hatch Incubation 6 oz,14.99,animal,Serpent,,"Asignar ""Serpent"" en Clover",medium,Repashy,Repashy Super Hatch Incubation 6 oz,"Nombre sugiere animal vivo → categoría Clover existente ""Serpent""",Créer Animal (no Product)
09HGCMHXSKMT4,DR565 Repashy Morning Wood 70.4 oz,243.00,product,Nourriture,food_packaged,"Asignar ""Nourriture"" en Clover",high,Repashy,Repashy Morning Wood 70.4 oz,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_packaged""",Bulk create Product
BMZ574WDZKEE0,Dendrobates Oophaga Paru (Couple),1200.00,review,,,Revisar manual,low,,Dendrobates Oophaga Paru (Couple),Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
XYVJX8V6ZKQAM,EXS-12,44.99,review,,,Revisar manual,low,,EXS-12,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
ZHFE5CT7NDTRW,EXS23,37.99,review,,,Revisar manual,low,,EXS23,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
Y0BQF8A01PMW0,Eastern Black Neck Garter Snake ( Thamnophis cyrtopsis ocellatus,240.00,review,,,Revisar manual,low,,Eastern Black Neck Garter Snake ( Thamnophis cyrtopsis ocellatus,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
RVNB4VCYKG3KM,FF2200 Gentle Giants DOG Chicken - Kibble 3lb,19.99,review,,,Revisar manual,low,,Gentle Giants DOG Chicken - Kibble 3lb,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
84Y48BQ6QN4CY,FF2205 Gentle Giants DOG Chicken- Kibble 30lbs,89.99,review,,,Revisar manual,low,,Gentle Giants DOG Chicken- Kibble 30lbs,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
FX9WNHK6MQXT8,FF2220 Gentle Giants DOG Beef with Bacon - Kibble 3 lbs,25.99,review,,,Revisar manual,low,,Gentle Giants DOG Beef with Bacon - Kibble 3 lbs,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
B7D77YECZ5KGP,FF2224 Gentle Giants DOG Beef with Bacon - Kibble 24 lbs,89.99,review,,,Revisar manual,low,,Gentle Giants DOG Beef with Bacon - Kibble 24 lbs,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
S7P3P5CC2WZMG,FF2240 Gentle Giants DOG 90% Chicken - Can 13oz,5.99,review,,,Revisar manual,low,,Gentle Giants DOG 90% Chicken - Can 13oz,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
1M23YPN69R49T,FF2242 Gentle Giants DOG 90% Beef - Can 13oz,5.99,review,,,Revisar manual,low,,Gentle Giants DOG 90% Beef - Can 13oz,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
CR4T5EFVBH6X2,G146 Reptile Hide Box XXL,39.99,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,,Reptile Hide Box XXL,"Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
EZ020SA0X5CQ0,Gardiennage Semaine,100.00,review,,,Revisar manual,low,,Gardiennage Semaine,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
70BMBYV6392VA,Gardiennage par jour,15.00,review,,,Revisar manual,low,,Gardiennage par jour,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
6ZHFTA1WD2A6E,Gardiennage par mois,150.00,review,,,Revisar manual,low,,Gardiennage par mois,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
KWFQ57BVQJAK8,Gecko A Crete,250.00,animal,Lezard,,"Asignar ""Lezard"" en Clover",medium,,Gecko A Crete,"Nombre sugiere animal vivo → categoría Clover existente ""Lezard""",Créer Animal (no Product)
S50826PZ3F12C,Gecko à Crête Lily White,250.00,animal,Lezard,,"Asignar ""Lezard"" en Clover",medium,,Gecko à Crête Lily White,"Nombre sugiere animal vivo → categoría Clover existente ""Lezard""",Créer Animal (no Product)
4F12690QXFMVA,Gerbille / Rat natal vivant/ ASF,10.25,animal,Rongeur,,"Asignar ""Rongeur"" en Clover",medium,,Gerbille / Rat natal vivant/ ASF,"Nombre sugiere animal vivo → categoría Clover existente ""Rongeur""",Créer Animal (no Product)
S3BJAWBE7EX48,Gift card,0.00,review,,,Revisar manual,low,,Gift card,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
XHN7NCG58SKQW,Guppies,6.00,review,,,Revisar manual,low,,Guppies,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
D71Y46XZGFH38,Guyana Leaf,11.99,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,,Guyana Leaf,"Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
ZFRSB9YEVMPTP,H20631 Hikari Mulberific Delite 7.7oz,31.99,review,,,Revisar manual,low,,Hikari Mulberific Delite 7.7oz,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
GG6PTXA35D9J8,H20633 Hikari Mulberific Delite 22.9 oz,60.99,review,,,Revisar manual,low,,Hikari Mulberific Delite 22.9 oz,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
76JNCZY75VN6Y,H96155 Hikari Mossy Skull 4.1 Resin Ornament,26.99,product,Substrat,substrate,"Asignar ""Substrat"" en Clover",high,,Hikari Mossy Skull 4.1 Resin Ornament,"Patrón nombre → Clover ""Substrat"" / sitio ""substrate""",Bulk create Product
XT4V5HW1DPV6P,HF30104 Mini Bloodworms 1.58oz,6.99,product,Insecte Vivant,food_live,"Asignar ""Insecte Vivant"" en Clover",high,,HF30104 Mini Bloodworms 1.58oz,"Patrón nombre → Clover ""Insecte Vivant"" / sitio ""food_live""",Bulk create Product
2XFTWKTNA2GSR,HF30120 / 15234 Frozen Bloodworms 100gr (3.5oz),9.99,product,Insecte Vivant,food_live,"Asignar ""Insecte Vivant"" en Clover",high,,HF30120 / 15234 Frozen Bloodworms 100gr (3.5oz),"Patrón nombre → Clover ""Insecte Vivant"" / sitio ""food_live""",Bulk create Product
PB0DW30ZV1YHP,HF30250 Hikari Jumbo Blood Worm,42.99,product,Insecte Vivant,food_live,"Asignar ""Insecte Vivant"" en Clover",high,,HF30250 Hikari Jumbo Blood Worm,"Patrón nombre → Clover ""Insecte Vivant"" / sitio ""food_live""",Bulk create Product
VJJT8FRXSFCZT,HH0232 Pet's Pick Aspen 41L,17.99,review,,,Revisar manual,low,,Pet's Pick Aspen 41L,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
87K6PZDYA1NYC,HH1666 Mazuri Hamster et Gerbil Diet,7.00,animal,Rongeur,,"Asignar ""Rongeur"" en Clover",medium,Mazuri,Mazuri Hamster et Gerbil Diet,"Nombre sugiere animal vivo → categoría Clover existente ""Rongeur""",Créer Animal (no Product)
1X3TKWVGQY7AY,HH1672 Mazuri Rat & Mouse Diet 2lb,14.00,animal,Rongeur,,"Asignar ""Rongeur"" en Clover",medium,Mazuri,Mazuri Rat & Mouse Diet 2lb,"Nombre sugiere animal vivo → categoría Clover existente ""Rongeur""",Créer Animal (no Product)
A94PEAV9QRG2T,HK30240 Jumbo Bloodworms Flat Pack 16oz,42.99,product,Insecte Vivant,food_live,"Asignar ""Insecte Vivant"" en Clover",high,,HK30240 Jumbo Bloodworms Flat Pack 16oz,"Patrón nombre → Clover ""Insecte Vivant"" / sitio ""food_live""",Bulk create Product
NBHKCD4FEQY7Y,HK30920 Hikari Frozen Okanagan FW Mysis 3.5 oz Cubes,11.99,product,Nourriture,food_frozen,"Asignar ""Nourriture"" en Clover",medium,,HK30920 Hikari Frozen Okanagan FW Mysis 3.5 oz Cubes,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_frozen""",Bulk create Product
01ACQ8T64A1QC,HK31027 Hikari Frozen Okanagan FW Mysis 8 oz,23.99,product,Nourriture,food_frozen,"Asignar ""Nourriture"" en Clover",medium,,HK31027 Hikari Frozen Okanagan FW Mysis 8 oz,"Patrón nombre → Clover ""Nourriture"" / sitio ""food_frozen""",Bulk create Product
8H6WSWAQP9D7W,Hamster Syrian Assorted,18.00,animal,Rongeur,,"Asignar ""Rongeur"" en Clover",medium,,Hamster Syrian Assorted,"Nombre sugiere animal vivo → categoría Clover existente ""Rongeur""",Créer Animal (no Product)
5ZDKJR4D8BWZR,Hikari Dragon Delite,24.00,animal,Lezard,,"Asignar ""Lezard"" en Clover",medium,,Hikari Dragon Delite,"Nombre sugiere animal vivo → categoría Clover existente ""Lezard""",Créer Animal (no Product)
97N5TP1GB54CC,Hydroball 50L,40.00,review,,,Revisar manual,low,,Hydroball 50L,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
8XPB9KNXX7V6G,ITEM CORRECTIF,1.00,review,,,Revisar manual,low,,CORRECTIF,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
ZVZJXV7G4CCTA,Imprime 3D,15.00,review,,,Revisar manual,low,,Imprime 3D,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
X9GFZ01YNAEFG,Intérêt,1.00,review,,,Revisar manual,low,,Intérêt,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
943E0J3E1FHA6,Isopod Armadillidum nasatum Gold Flake Jelly Bean,40.00,animal,Isopod et Araignee et Fourmis,,"Asignar ""Isopod et Araignee et Fourmis"" en Clover",medium,,Isopod Armadillidum nasatum Gold Flake Jelly Bean,"Nombre sugiere animal vivo → categoría Clover existente ""Isopod et Araignee et Fourmis""",Créer Animal (no Product)
8BTZ7ZYN6B37C,Isopod Cubaris Murina Glacier,40.00,animal,Isopod et Araignee et Fourmis,,"Asignar ""Isopod et Araignee et Fourmis"" en Clover",medium,,Isopod Cubaris Murina Glacier,"Nombre sugiere animal vivo → categoría Clover existente ""Isopod et Araignee et Fourmis""",Créer Animal (no Product)
53J0P0P33KRYT,Isopod Cubaris Sp. ''Cappuccino'',250.00,animal,Isopod et Araignee et Fourmis,,"Asignar ""Isopod et Araignee et Fourmis"" en Clover",medium,,Isopod Cubaris Sp. ''Cappuccino'',"Nombre sugiere animal vivo → categoría Clover existente ""Isopod et Araignee et Fourmis""",Créer Animal (no Product)
538CBJW0FHXSR,Isopod Cubaris sp. ''Soil'',100.00,animal,Isopod et Araignee et Fourmis,,"Asignar ""Isopod et Araignee et Fourmis"" en Clover",medium,,Isopod Cubaris sp. ''Soil'',"Nombre sugiere animal vivo → categoría Clover existente ""Isopod et Araignee et Fourmis""",Créer Animal (no Product)
2BT19C1JN4MDJ,Isopod Nesodillo Arcangelii ''Shiro Utsuri'',55.00,animal,Isopod et Araignee et Fourmis,,"Asignar ""Isopod et Araignee et Fourmis"" en Clover",medium,,Isopod Nesodillo Arcangelii ''Shiro Utsuri'',"Nombre sugiere animal vivo → categoría Clover existente ""Isopod et Araignee et Fourmis""",Créer Animal (no Product)
0MCFKYCRV2BY8,Isopod Porcellio Scaber Calico,20.00,animal,Isopod et Araignee et Fourmis,,"Asignar ""Isopod et Araignee et Fourmis"" en Clover",medium,,Isopod Porcellio Scaber Calico,"Nombre sugiere animal vivo → categoría Clover existente ""Isopod et Araignee et Fourmis""",Créer Animal (no Product)
4F5R0KADF9PW0,Isopods P. Scaber Koi 15+,30.00,review,,,Revisar manual,low,,Isopods P. Scaber Koi 15+,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
3FQ6HAWKZ30SG,JSK Zoomed Creatures Jumping Spider Kit,35.00,review,,,Revisar manual,low,Zoo Med,Zoomed Creatures Jumping Spider Kit,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
8BCVTTFF9Z058,Jumping Spider / Araignée Sauteuse,70.00,review,,,Revisar manual,low,,Jumping Spider / Araignée Sauteuse,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
FT71J2G672G18,La Swamp - Feuilles de Logan,4.99,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,,La Swamp - Feuilles de Logan,"Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
GC19P69AX61WM,La Swamp - Nourriture Isopods 16oz,29.99,review,,,Revisar manual,low,,La Swamp - Nourriture Isopods 16oz,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
GAC6WTJHY8868,La Swamp - Nourriture Isopods 4oz,9.99,review,,,Revisar manual,low,,La Swamp - Nourriture Isopods 4oz,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
F02DMHZ94M6J8,La Swamp Feuilles de Catappa,2.99,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,,La Swamp Feuilles de Catappa,"Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
EYSF77KNHSYTR,"La Swamp Feuilles de Kumbuk 0,5 oz",6.99,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,,"La Swamp Feuilles de Kumbuk 0,5 oz","Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
6VQTZNWKAAVVR,La Swamp Écorce Mixte de l'Est,5.99,review,,,Revisar manual,low,,La Swamp Écorce Mixte de l'Est,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
PX5RB8SG7A8M0,Lacerta Mélanique BB,500.00,review,,,Revisar manual,low,,Lacerta Mélanique BB,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
8RHMC24WV2ZQG,Lapin / Cochon d'Inde 150-300 gr.,9.50,review,,,Revisar manual,low,,Lapin / Cochon d'Inde 150-300 gr.,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
22QSETH9T3BDE,Lapin / Cochon d'Inde 300-500 gr,13.99,review,,,Revisar manual,low,,Lapin / Cochon d'Inde 300-500 gr,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
R2J52T2V10WX6,Lapin / Cochon d'Inde 500-800gr,19.99,review,,,Revisar manual,low,,Lapin / Cochon d'Inde 500-800gr,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
5VSK859K7423W,Lapin / Cochon d'Inde 800-1000 gr.,23.99,review,,,Revisar manual,low,,Lapin / Cochon d'Inde 800-1000 gr.,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
EY9N8WTF4ZNW8,Lapin 1001-2000 gr.,30.00,review,,,Revisar manual,low,,Lapin 1001-2000 gr.,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
ZEHYW34YCJ79M,Leachieanus bb,600.00,review,,,Revisar manual,low,,Leachieanus bb,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
GC5XQMA31AEV0,MBCL Cashew Leaf Litter,13.99,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,,Cashew Leaf Litter,"Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
K3RQKWMNVS8JR,MBEX,10.99,review,,,Revisar manual,low,,MBEX,Sin categoría Clover y sin patrón reconocido — revisión manual,Revisión manual
6Z6FJHMXFSJCG,MBOL Oak Leaf Litter 1 oz,15.99,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,,Oak Leaf Litter 1 oz,"Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
6J67AD8JMBW7A,MBPL Maple Leaf Litter 1oz,14.99,product,Decoration,decor,"Asignar ""Decoration"" en Clover",medium,,Maple Leaf Litter 1oz,"Patrón nombre → Clover ""Decoration"" / sitio ""decor""",Bulk create Product
JAFRJVERV6FZE,MZF RC Nourriture à crickets 1.8 kg,21.99,product,Insecte Vivant,food_live,"Asignar ""Insecte Vivant"" en Clover",high,,RC Nourriture à crickets 1.8 kg,"Patrón nombre → Clover ""Insecte Vivant"" / sitio ""food_live""",Bulk create Product
X9DM8PK3YVH2P,MZF08 Cricket Food 8oz,4.50,product,Insecte Vivant,food_live,"Asignar ""Insecte Vivant"" en Clover",high,,Cricket Food 8oz,"Patrón nombre → Clover ""Insecte Vivant"" / sitio ""food_live""",Bulk create Product
46AFY8E4FN88C,MZF16 RC Nourriture à crickets 300g,8.49,product,Insecte Vivant,food_live,"Asignar ""Insecte Vivant"" en Clover",high,,RC Nourriture à crickets 300g,"Patrón nombre → Clover ""Insecte Vivant"" / sitio ""food_live""",Bulk create Product
